query,no,token,pos
전주 여행,11,한옥마을,NNP
전주 여행,11,관광지,NNG
전주 여행,11,을까요,EC
전주 여행,11,려고,EC
전주 여행,11,는데,EC
전주 여행,11,그때,NNG
전주 여행,11,한옥마을,NNP
전주 여행,11,관광지,NNG
전주 여행,11,을까요,EC
전주 여행,11,추석,NNP
전주 여행,11,당일,NNG
전주 여행,11,습니다,EC
전주 여행,11,에도,NNP
전주 여행,11,이벤트,NNP
전주 여행,11,진행,NNG
전주 여행,11,ㅂ니다,EC
전주 여행,12,부모,NNG
전주 여행,12,려고,EC
전주 여행,12,는데,EC
전주 여행,12,정보,NNG
전주 여행,12,하나,NR
전주 여행,12,어서요,EC
전주 여행,12,숙소,NNG
전주 여행,12,어디,NP
전주 여행,12,은지,EC
전주 여행,12,관광지,NNP
전주 여행,12,어디,NP
전주 여행,12,는지,EC
전주 여행,12,추천,NNG
전주 여행,12,부탁,NNG
전주 여행,12,드리,VV
전주 여행,12,어요,EC
전주 여행,12,맛집,NNG
전주 여행,12,국내,NNG
전주 여행,12,코스,NNG
전주 여행,12,주가,NNP
전주 여행,12,한곳,NNG
전주 여행,12,여수,NNP
전주 여행,13,코스,NNG
전주 여행,13,질문,NNP
전주 여행,13,코스,NNG
전주 여행,13,한번,NNG
전주 여행,13,전라도,NNP
전주 여행,13,저도,NNP
전주 여행,13,간적,NNP
전주 여행,13,어서,EC
전주 여행,13,맛집,NNG
전주 여행,13,국내,NNG
전주 여행,13,코스,NNG
전주 여행,13,주가,NNP
전주 여행,13,한곳,NNG
전주 여행,13,여수,NNP
전주 여행,13,여수,NNP
전주 여행,13,한곳,NNG
전주 여행,13,제주도,NNP
전주 여행,13,제주도,NNP
전주 여행,13,한곳,NNG
전주 여행,13,전문,NNG
전주 여행,14,남해,NNP
전주 여행,14,남해,NNP
전주 여행,14,려는데,EC
전주 여행,14,여행지,NNG
전주 여행,14,맛집,NNG
전주 여행,14,추천,NNG
전주 여행,14,어요,EC
전주 여행,14,보리암,NNP
전주 여행,14,다랭이굴,NA
전주 여행,14,독일마을,NNP
전주 여행,14,한옥마을,NNP
전주 여행,14,두세,MM
전주 여행,14,이서,NNP
전주 여행,14,맛집,NNG
전주 여행,14,빨리,MAG
전주 여행,14,추천,NNG
전주 여행,14,어요,EC
전주 여행,14,라서,EC
전주 여행,14,추천,NNG
전주 여행,14,어도,EC
전주 여행,14,ㅂ니다,EC
전주 여행,14,맛집,NNG
전주 여행,15,ㄴ다면,EC
전주 여행,15,비용,NNG
전주 여행,15,얼마,NNG
전주 여행,15,나오,VV
전주 여행,15,ㄹ까요,EC
전주 여행,15,비용,NNG
전주 여행,15,여러,MM
전주 여행,15,요소,NNG
전주 여행,15,따르,VV
전주 여행,15,달라지,VV
전주 여행,15,지만,EC
전주 여행,15,일반,NNG
전주 여행,15,으로,JKB
전주 여행,15,다음,NNG
전주 여행,15,항목,NNG
전주 여행,15,포함,NNG
전주 여행,15,ㅂ니다,EC
전주 여행,15,교통비,NNG
전주 여행,15,까지,JX
전주 여행,15,이동,NNG
전주 여행,15,위하,VV
전주 여행,15,교통,NNP
전주 여행,15,비용,NNP
전주 여행,15,ㅂ니다,EC
전주 여행,16,코스,NNG
전주 여행,16,어요,EC
전주 여행,16,코스,NNG
전주 여행,16,드리,VX
전주 여행,16,습니다,EC
전주 여행,16,역사,NNG
전주 여행,16,유적지,NNG
전주 여행,16,전통문화,NNG
전주 여행,16,빛나,VV
전주 여행,16,으로,JKB
전주 여행,16,유명,XR
전주 여행,16,ㄴ데요,EC
전주 여행,16,먼저,MAG
전주 여행,16,전주한옥마을,NNP
전주 여행,16,방문,NNG
전주 여행,16,한옥,NNP
전주 여행,16,아름답,VA
전주 여행,16,느끼,VV
전주 여행,16,습니다,EC
전주 여행,16,시작,NNG
전주 여행,16,라고,EC
전주 여행,16,전주한옥마을,NNP
전주 여행,16,에서,JKB
전주 여행,17,완주,NNG
전주 여행,17,맛집,NNG
전주 여행,17,국내,NNG
전주 여행,17,코스,NNG
전주 여행,17,주가,NNP
전주 여행,17,한곳,NNG
전주 여행,17,여수,NNP
전주 여행,17,여수,NNP
전주 여행,17,한곳,NNG
전주 여행,17,제주도,NNP
전주 여행,17,제주도,NNP
전주 여행,17,한곳,NNG
전주 여행,17,전문,NNG
전주 여행,17,ㅂ니다,EC
전주 여행,17,완주,NNG
전주 여행,17,어느,MM
전주 여행,17,느냐,EC
전주 여행,17,따르,VV
전주 여행,18,부탁,NNG
전주 여행,18,드리,VV
전주 여행,18,ㅂ니다,EC
전주 여행,18,맛집,NNG
전주 여행,18,국내,NNG
전주 여행,18,코스,NNG
전주 여행,18,주가,NNP
전주 여행,18,한곳,NNG
전주 여행,18,여수,NNP
전주 여행,18,여수,NNP
전주 여행,18,한곳,NNG
전주 여행,18,제주도,NNP
전주 여행,18,제주도,NNP
전주 여행,18,한곳,NNG
전주 여행,18,전문,NNG
전주 여행,18,ㅂ니다,EC
전주 여행,18,코스,NNG
전주 여행,19,관련,NNG
전주 여행,19,맛집,NNG
전주 여행,19,국내,NNG
전주 여행,19,코스,NNG
전주 여행,19,주가,NNP
전주 여행,19,한곳,NNG
전주 여행,19,여수,NNP
전주 여행,19,여수,NNP
전주 여행,19,한곳,NNG
전주 여행,19,제주도,NNP
전주 여행,19,제주도,NNP
전주 여행,19,한곳,NNG
전주 여행,19,전문,NNG
전주 여행,19,ㅂ니다,EC
전주 여행,19,주말,NNP
전주 여행,19,인지,NNP
전주 여행,19,평일,NNP
전주 여행,19,인지,NNP
전주 여행,19,따르,VV
전주 여행,19,다르,VA
전주 여행,19,ㅂ니다,EC
전주 여행,20,려고,EC
전주 여행,20,는데,EC
전주 여행,20,어떻,VA
전주 여행,20,적당,XR
전주 여행,20,ㄹ지,EC
전주 여행,20,추천,NNG
전주 여행,20,어요,EC
전주 여행,20,맛집,NNG
전주 여행,20,국내,NNG
전주 여행,20,코스,NNG
전주 여행,20,주가,NNP
전주 여행,20,한곳,NNG
전주 여행,20,여수,NNP
전주 여행,20,여수,NNP
전주 여행,20,한곳,NNG
전주 여행,20,제주도,NNP
전주 여행,20,제주도,NNP
전주 여행,20,한곳,NNG
전주 여행,20,전문,NNG
전주 여행,20,ㅂ니다,EC
전주 여행,21,가시,VV
전주 여행,21,는군,EC
전주 여행,21,그렇,VA
전주 여행,21,다면,EC
전주 여행,21,에서,JKB
전주 여행,21,연인들,NNP
전주 여행,21,제일,NNG
전주 여행,21,많이,MAG
전주 여행,21,추천,NNG
전주 여행,21,드리,VX
전주 여행,21,습니다,EC
전주 여행,21,전주한옥마을,NNP
전주 여행,21,전주동물원,NNP
전주 여행,21,한국도로공사,NNP
전주 여행,21,수목원,NNP
전주 여행,21,전주향교,NNP
전주 여행,21,덕진,NNP
전주 여행,21,공원,NNP
전주 여행,22,비용,NNG
전주 여행,22,맛집,NNG
전주 여행,22,국내,NNG
전주 여행,22,코스,NNG
전주 여행,22,주가,NNP
전주 여행,22,한곳,NNG
전주 여행,22,여수,NNP
전주 여행,22,여수,NNP
전주 여행,22,한곳,NNG
전주 여행,22,제주도,NNP
전주 여행,22,제주도,NNP
전주 여행,22,한곳,NNG
전주 여행,22,전문,NNG
전주 여행,22,ㅂ니다,EC
전주 여행,22,한옥마을,NNP
전주 여행,22,입장료,NNG
전주 여행,22,따로,MAG
전주 여행,22,습니다,EC
전주 여행,22,기본,NNG
전주 여행,23,초등,NNG
전주 여행,23,학년,NNG
전주 여행,23,일대,MM
전주 여행,23,수학,NNG
전주 여행,23,코스,NNG
전주 여행,23,관광,NNG
전주 여행,23,달인,NNP
전주 여행,23,이신,NNP
전주 여행,23,께서,JKS
전주 여행,23,코스,NNG
전주 여행,23,추천,NNG
전주 여행,23,대단히,MAG
전주 여행,23,감사,NNG
전주 여행,23,드리,VV
전주 여행,23,습니다,EC
전주 여행,23,맛집,NNG
전주 여행,23,국내,NNG
전주 여행,23,코스,NNG
전주 여행,23,주가,NNP
전주 여행,23,한곳,NNG
전주 여행,23,여수,NNP
전주 여행,23,여수,NNP
전주 여행,23,한곳,NNG
전주 여행,23,제주도,NNP
전주 여행,24,이번,NNG
전주 여행,24,처음,NNG
전주 여행,24,는데,EC
전주 여행,24,추천,NNG
전주 여행,24,어요,EC
전주 여행,24,걷기,NNP
전주 여행,24,은데,EC
전주 여행,24,위주,NNG
전주 여행,24,좋아하,VV
전주 여행,24,아요,EC
전주 여행,24,트레킹,NNG
전주 여행,24,좋아하,VV
전주 여행,24,아요,EC
전주 여행,24,계획,NNG
전주 여행,24,군요,EC
전주 여행,24,다양,XR
전주 여행,24,볼거리,NNG
전주 여행,25,비용,NNG
전주 여행,25,숙박비,NNG
전주 여행,25,제외,NNG
전주 여행,25,인당,NNP
전주 여행,25,대략,MAG
전주 여행,25,얼마,NNG
전주 여행,25,필요,NNG
전주 여행,25,나요,EC
전주 여행,25,숙박비,NNG
전주 여행,25,교통비,NNG
전주 여행,25,제외,NNG
전주 여행,25,만원,NNP
전주 여행,25,이면,NNP
전주 여행,25,가능,XR
전주 여행,25,ㄹ까요,EC
전주 여행,25,숙박비,NNG
전주 여행,25,제외,NNG
전주 여행,25,인당,NNP
전주 여행,25,대략,MAG
전주 여행,25,얼마,NNG
전주 여행,25,필요,NNG
전주 여행,25,나요,EC
전주 여행,25,숙박비,NNG
전주 여행,25,교통비,NNG
전주 여행,25,제외,NNG
전주 여행,25,만원,NNP
전주 여행,25,이면,NNP
전주 여행,26,크리스마스,NNP
전주 여행,26,맛집,NNG
전주 여행,26,국내,NNG
전주 여행,26,코스,NNG
전주 여행,26,주가,NNP
전주 여행,26,한곳,NNG
전주 여행,26,여수,NNP
전주 여행,26,여수,NNP
전주 여행,26,한곳,NNG
전주 여행,26,제주도,NNP
전주 여행,26,제주도,NNP
전주 여행,26,한곳,NNG
전주 여행,26,전문,NNG
전주 여행,26,ㅂ니다,EC
전주 여행,26,코스,NNG
전주 여행,26,한옥마을,NNP
전주 여행,26,에서부터,JKB
전주 여행,26,시작,NNG
전주 여행,27,전시회,NNG
전주 여행,27,추천,NNG
전주 여행,27,제가,NNP
전주 여행,27,이번,NNG
전주 여행,27,남자친구,NNP
전주 여행,27,는데요,EC
전주 여행,27,전주한옥마을,NNP
전주 여행,27,그래서,MAJ
전주 여행,27,공방,NNG
전주 여행,27,전시회,NNG
전주 여행,27,추천,NNG
전주 여행,27,부탁,NNG
전주 여행,27,드리,VV
전주 여행,27,어요,EC
전주 여행,27,안녕하세요,NNP
전주 여행,27,질문,NNG
전주 여행,27,관련,NNG
전주 여행,27,답변,NNG
전주 여행,27,드리,VV
전주 여행,27,도록,EC
전주 여행,27,습니다,EC
전주 여행,27,ㅂ니다,EC
전주 여행,28,친구,NNG
전주 여행,28,친구,NNG
전주 여행,28,려고,EC
전주 여행,28,ㅂ니다,EC
전주 여행,28,한곳,NNG
전주 여행,28,호텔,NNP
전주 여행,28,맛집,NNG
전주 여행,28,추천,NNG
전주 여행,28,어요,EC
전주 여행,28,호텔,NNG
전주 여행,28,시설,NNG
전주 여행,28,괜찮,VA
전주 여행,28,깨끗,XR
전주 여행,28,으면,EC
전주 여행,28,어요,EC
전주 여행,28,한옥,NNP
전주 여행,28,이어도,NNP
전주 여행,28,괜찮,VA
전주 여행,28,아요,EC
전주 여행,28,침대,NNP
전주 여행,28,어요,EC
전주 여행,28,맛집,NNG
전주 여행,28,양식,NNP
전주 여행,28,중식,NNP
전주 여행,28,일식,NNP
전주 여행,28,상관없,VA
전주 여행,28,습니다,EC
전주 여행,28,비용,NNG
전주 여행,28,인당,NNP
전주 여행,29,연령,NNG
전주 여행,29,렌트카,NNG
전주 여행,29,추천,NNG
전주 여행,29,이번,NNG
전주 여행,29,으로,JKB
전주 여행,29,ㅂ니다,EC
전주 여행,29,연령,NNG
전주 여행,29,자동차,NNG
전주 여행,29,추천,NNG
전주 여행,29,부탁,NNG
전주 여행,29,드리,VV
전주 여행,29,습니다,EC
전주 여행,29,그리고,MAJ
전주 여행,29,가격,NNG
전주 여행,29,렌트,NNP
전주 여행,29,하면,NNP
전주 여행,29,어느,MM
전주 여행,29,정도,NNP
전주 여행,29,나오,VV
전주 여행,29,ㄹ까요,EC
전주 여행,29,에서,JKB
전주 여행,29,이상,NNG
전주 여행,29,렌트,NNP
전주 여행,29,가능,XR
전주 여행,29,자동차,NNG
전주 여행,29,찾아보,VV
전주 여행,29,어요,EC
전주 여행,29,가격,NNG
전주 여행,30,코스,NNG
전주 여행,30,추천,NNG
전주 여행,30,안녕하세요,NNP
전주 여행,30,여자친구,NNP
전주 여행,30,예정,NNG
전주 여행,30,ㄴ데,EC
전주 여행,30,숙소,NNG
전주 여행,30,클래식,NNP
전주 여행,30,호텔,NNP
전주 여행,30,일정,NNG
전주 여행,30,으로,JKB
전주 여행,30,가게,NNG
전주 여행,30,습니다,EC
전주 여행,30,근데,MAJ
전주 여행,30,금요일,NNP
전주 여행,30,오후,NNG
전주 여행,30,도착,NNG
전주 여행,30,예정,NNG
전주 여행,30,자가,NNG
전주 여행,30,이동,NNP
전주 여행,30,수단,NNP
전주 여행,30,대중교통,NNP
전주 여행,30,택시,NNG
전주 여행,30,예정,NNG
전주 여행,30,ㅂ니다,EC
전주 여행,31,코스,NNG
전주 여행,31,추천,NNG
전주 여행,31,영화제,NNP
전주 여행,31,기간,NNG
전주 여행,31,일정,NNG
전주 여행,31,으로,JKB
전주 여행,31,ㄹ까,EC
전주 여행,31,아서요,EC
전주 여행,31,코스,NNG
전주 여행,31,추천,NNG
전주 여행,31,어요,EC
전주 여행,31,어차피,MAG
전주 여행,31,주목,NNG
전주 여행,31,전주국제영화제,NNP
전주 여행,31,니까,EC
전주 여행,31,둘러보,VV
전주 여행,31,못하,VX
전주 여행,31,그냥,MAG
전주 여행,31,하면,NNP
전주 여행,31,알짜,NNG
전주 여행,31,배기,XSN
전주 여행,31,추천,NNG
전주 여행,31,어요,EC
전주 여행,31,영화,NNG
전주 여행,32,추천,NNG
전주 여행,32,어요,EC
전주 여행,32,당일치기,NNG
전주 여행,32,추천,NNG
전주 여행,32,어요,EC
전주 여행,32,당일치기,NNG
전주 여행,32,맛집,NNG
전주 여행,32,국내,NNG
전주 여행,32,코스,NNG
전주 여행,32,주가,NNP
전주 여행,32,한곳,NNG
전주 여행,32,여수,NNP
전주 여행,32,여수,NNP
전주 여행,32,한곳,NNG
전주 여행,32,제주도,NNP
전주 여행,32,제주도,NNP
전주 여행,32,한곳,NNG
전주 여행,32,전문,NNG
전주 여행,32,ㅂ니다,EC
전주 여행,33,광주,NNP
전주 여행,33,에서,JKB
전주 여행,33,감사,NNG
전주 여행,33,습니다,EC
전주 여행,33,맛집,NNG
전주 여행,33,국내,NNG
전주 여행,33,코스,NNG
전주 여행,33,주가,NNP
전주 여행,33,한곳,NNG
전주 여행,33,여수,NNP
전주 여행,33,여수,NNP
전주 여행,33,한곳,NNG
전주 여행,33,제주도,NNP
전주 여행,33,제주도,NNP
전주 여행,33,한곳,NNG
전주 여행,33,전문,NNG
전주 여행,33,ㅂ니다,EC
전주 여행,33,버스,NNP
전주 여행,33,터미널,NNP
전주 여행,33,에서,JKB
전주 여행,33,내리,VV
전주 여행,33,어서,EC
전주 여행,34,각각,MAG
전주 여행,34,거리,NNG
전주 여행,34,가깝,VA
전주 여행,34,ㄴ지,EC
전주 여행,34,어요,EC
전주 여행,34,추석,NNG
전주 여행,34,예정,NNG
전주 여행,34,ㅂ니다,EC
전주 여행,34,한곳,NNG
전주 여행,34,추천,NNG
전주 여행,34,어요,EC
전주 여행,34,맛집,NNG
전주 여행,34,국내,NNG
전주 여행,34,코스,NNG
전주 여행,34,주가,NNP
전주 여행,34,한곳,NNG
전주 여행,34,여수,NNP
전주 여행,34,여수,NNP
전주 여행,34,한곳,NNG
전주 여행,34,제주도,NNP
전주 여행,35,혼자,NNG
전주 여행,35,코스,NNG
전주 여행,35,질문,NNG
전주 여행,35,정보,NNG
전주 여행,35,정리,NNG
전주 여행,35,습니다,EC
전주 여행,35,참고,NNG
전주 여행,35,어요,EC
전주 여행,35,에서,JKB
전주 여행,35,덕진,NNP
전주 여행,35,공원,NNP
전주 여행,35,추천,NNG
전주 여행,35,덕진,NNP
전주 여행,35,공원,NNP
전주 여행,35,터미널,NNP
전주 여행,35,에서,JKB
전주 여행,35,가장,MAG
전주 여행,35,가깝,VA
전주 여행,35,에요,EC
전주 여행,35,산책,NNG
전주 여행,35,호수공원,NNP
전주 여행,35,에요,EC
전주 여행,35,덕진,NNP
전주 여행,35,공원,NNP
전주 여행,35,생략,NNG
전주 여행,35,곧바로,MAG
전주 여행,35,남부,NNP
전주 여행,35,시장,NNP
전주 여행,36,질문,NNG
전주 여행,36,일정,NNG
전주 여행,36,관련,NNG
전주 여행,36,답변,NNG
전주 여행,36,드리,VV
전주 여행,36,도록,EC
전주 여행,36,습니다,EC
전주 여행,36,여행가,NNG
전주 여행,36,계획,NNG
전주 여행,36,너무,MAG
전주 여행,36,귀찮,VA
전주 여행,36,제가,NNP
전주 여행,36,에서,JKB
전주 여행,36,즐기,VV
전주 여행,36,준비,NNG
전주 여행,36,어요,EC
전주 여행,36,아래,NNG
전주 여행,36,일정,NNG
전주 여행,36,참고,NNG
전주 여행,36,즐겁,VA
전주 여행,36,바라,VV
전주 여행,36,일차,NNG
전주 여행,37,한옥마을,NNP
전주 여행,37,준비,NNG
전주 여행,37,ㅂ니다,EC
전주 여행,37,대여,NNG
전주 여행,37,천차만별,NNG
전주 여행,37,ㅂ니다,EC
전주 여행,37,기본,NNG
전주 여행,37,금액,NNG
전주 여행,37,시작,NNG
전주 여행,37,ㅂ니다,EC
전주 여행,37,시간,NNG
전주 여행,37,한복,NNP
전주 여행,37,따르,VV
전주 여행,37,아서,EC
전주 여행,37,가격,NNG
전주 여행,37,다르,VA
전주 여행,37,ㅂ니다,EC
전주 여행,37,맛집,NNG
전주 여행,37,국내,NNG
전주 여행,37,코스,NNG
전주 여행,37,주가,NNP
전주 여행,37,한곳,NNG
전주 여행,37,여수,NNP
전주 여행,37,여수,NNP
전주 여행,37,한곳,NNG
전주 여행,37,제주도,NNP
전주 여행,38,팀조뮤,NA
전주 여행,38,는데,EC
전주 여행,38,이랑,NNP
전주 여행,38,맛집,NNG
전주 여행,38,알리,VV
전주 여행,38,어요,EC
전주 여행,38,안녕하세요,NNP
전주 여행,38,서울지방변호사회,NNP
전주 여행,38,소속,NNG
전주 여행,38,으로,JKB
전주 여행,38,지식,NNG
전주 여행,38,법률,NNG
전주 여행,38,상담,NNG
전주 여행,38,진행,NNG
전주 여행,38,김선,NNP
전주 여행,38,변호사,NNG
전주 여행,38,ㅂ니다,EC
전주 여행,38,알아보,VV
전주 여행,38,어렵,VA
전주 여행,38,다면,EC
전주 여행,38,인스타그램,NNP
전주 여행,38,라고,NNP
전주 여행,38,검색,NNP
전주 여행,38,어서,EC
전주 여행,39,한옥마을,NNP
전주 여행,39,당일치기,NNG
전주 여행,39,질문,NNG
전주 여행,39,여수,NNP
전주 여행,39,제주도,NNP
전주 여행,39,맛집,NNG
전주 여행,39,코스,NNG
전주 여행,39,주가,NNP
전주 여행,39,한곳,NNG
전주 여행,39,여수,NNP
전주 여행,39,여수,NNP
전주 여행,39,한곳,NNG
전주 여행,39,제주도,NNP
전주 여행,39,제주도,NNP
전주 여행,39,한곳,NNG
전주 여행,39,전문,NNG
전주 여행,39,ㅂ니다,EC
전주 여행,39,흐노니,NA
